V1`ariant SKU,Diamond SKU,Image 1,Image 2,Variant SKU
BP0001-R-1CTW-W-14k-f,89CDD50A5,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0001-R-1ctw-W-B.jpg?v=1749223197,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0001-R-1ctw-W-C.jpg?v=1749223196,BP0001-R-1CTW-W-14k-f-89CDD50A5
BP0001-R-2CTW-W-14k-f,F62FC01A5,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0001-R-2ctw-W-B.jpg?v=1749223302,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0001-R-2ctw-W-C.jpg?v=1749223302,BP0001-R-2CTW-W-14k-f-F62FC01A5
BP0001-R-3CTW-W-14k-f,E589A5198,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0001-R-3ctw-W-B.jpg?v=1749223556,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0001-R-3ctw-W-C.jpg?v=1749223556,BP0001-R-3CTW-W-14k-f-E589A5198
BP0001-R-4CTW-W-14k-f,A2775DADB,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0001-R-4ctw-W-B.jpg?v=1749223620,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0001-R-4ctw-W-C.jpg?v=1749223620,BP0001-R-4CTW-W-14k-f-A2775DADB
BP0001-R-5CTW-W-14k-f,3B7725012,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0001-R-5ctw-W-B.jpg?v=1749223686,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0001-R-5ctw-W-C.jpg?v=1749223686,BP0001-R-5CTW-W-14k-f-3B7725012
BP0001-P-1CTW-W-14k-f,54BBF7277,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0001-P-1ctw-W-B.jpg?v=1749225107,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0001-P-1ctw-W-C.jpg?v=1749225106,BP0001-P-1CTW-W-14k-f-54BBF7277
BP0001-P-2CTW-W-14k-f,2378C79F8,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0001-P-2ctw-W-B.jpg?v=1749225251,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0001-P-2ctw-W-C.jpg?v=1749225251,BP0001-P-2CTW-W-14k-f-2378C79F8
BP0001-P-3CTW-W-14k-f,E9E660E8E,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0001-P-3ctw-W-B.jpg?v=1749225491,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0001-P-3ctw-W-C.jpg?v=1749225491,BP0001-P-3CTW-W-14k-f-E9E660E8E
BP0001-P-4CTW-W-14k-f,FCB21981A,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0001-P-4ctw-W-B.jpg?v=1749225567,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0001-P-4ctw-W-C.jpg?v=1749225567,BP0001-P-4CTW-W-14k-f-FCB21981A
BP0001-P-5CTW-W-14k-f,,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0001-P-5ctw-W-B.jpg?v=1749225635,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0001-P-5ctw-W-C.jpg?v=1749225634,BP0001-P-5CTW-W-14k-f-
BP0001-P-1CTW-W-14k-f,54BBF7277,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0001-P-1ctw-W-B_63e6a4f5-424a-442b-8f17-d5e8104b2659.jpg?v=1749227007,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0001-P-1ctw-W-C_d760085b-3779-4b71-b431-75d528f57f5e.jpg?v=1749227006,BP0001-P-1CTW-W-14k-f-54BBF7277
BP0001-P-2CTW-W-14k-f,2378C79F8,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0001-P-2ctw-W-B_5e78cc3a-146a-4395-94a5-a1c2e1a5d4fc.jpg?v=1749227120,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0001-P-2ctw-W-C_813ba323-4d08-44ca-83ef-e18aff259767.jpg?v=1749227120,BP0001-P-2CTW-W-14k-f-2378C79F8
BP0001-P-3CTW-W-14k-f,E9E660E8E,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0001-P-3ctw-W-B_357b2f40-f949-4ce7-b298-a173f6b045d9.jpg?v=1749227210,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0001-P-3ctw-W-C_f41b456d-c279-4ed0-b55b-c819f5adbc63.jpg?v=1749227210,BP0001-P-3CTW-W-14k-f-E9E660E8E
BP0001-P-4CTW-W-14k-f,FCB21981A,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0001-P-4ctw-W-B_cf8e5d5c-cfe3-4f61-a272-d0a1f5ace174.jpg?v=1749227274,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0001-P-4ctw-W-C_44cff8be-b949-423b-be2f-af6d66ce445c.jpg?v=1749227274,BP0001-P-4CTW-W-14k-f-FCB21981A
BP0001-P-5CTW-W-14k-f,,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0001-P-5ctw-W-B_af74ceae-8353-4ba9-bdaf-e516b01595cd.jpg?v=1749227404,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0001-P-5ctw-W-C_c6e8a4ae-e58b-4055-8494-126379ff44a7.jpg?v=1749227404,BP0001-P-5CTW-W-14k-f-
BP0001-E-1CTW-W-14k-f,6E25CEE6A,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0001-E-1ctw-W-B.jpg?v=1749225908,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0001-E-1ctw-W-C.jpg?v=1749225907,BP0001-E-1CTW-W-14k-f-6E25CEE6A
BP0001-E-2CTW-W-14k-f,3E41E49E3,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0001-E-2ctw-W-B.jpg?v=1749225980,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0001-E-2ctw-W-C.jpg?v=1749225979,BP0001-E-2CTW-W-14k-f-3E41E49E3
BP0001-E-3CTW-W-14k-f,40E6A6769,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0001-E-3ctw-W-B.jpg?v=1749226042,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0001-E-3ctw-W-C.jpg?v=1749226041,BP0001-E-3CTW-W-14k-f-40E6A6769
BP0001-E-4CTW-W-14k-f,E23F34615,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0001-E-4ctw-W-B.jpg?v=1749226142,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0001-E-4ctw-W-C.jpg?v=1749226142,BP0001-E-4CTW-W-14k-f-E23F34615
BP0001-E-5CTW-W-14k-f,1D6651896,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0001-E-5ctw-W-B.jpg?v=1749226200,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0001-E-5ctw-W-C.jpg?v=1749226200,BP0001-E-5CTW-W-14k-f-1D6651896
BP0001-C-1CTW-Y-14k-f,,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0001-C-1ctw-Y-B.jpg?v=1749227408,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0001-C-1ctw-Y-C.jpg?v=1749227408,BP0001-C-1CTW-Y-14k-f-
