Variant SKU,Ring Visualizer URL
BR0002-H-10x10-W-14k-f,https://res.cloudinary.com/dqscf8bog/image/upload/v1753871084/ehkagi88r3tptnxd89l6.png
BR0002-A-6x6-W-18k-f,https://res.cloudinary.com/dqscf8bog/image/upload/v1753871147/banvhih7hba19h2waxxf.png
BR0002-A-7x7-W-18k-f,https://res.cloudinary.com/dqscf8bog/image/upload/v1753871062/h0e3azlasjdfga8tmdvz.png
BR0002-A-8x8-W-18k-f,https://res.cloudinary.com/dqscf8bog/image/upload/v1753871123/erjogvjruabzwhtsemqr.png
BR0002-A-9x9-W-18k-f,https://res.cloudinary.com/dqscf8bog/image/upload/v1753871124/hqmoopjvo6yleqieyzmh.png
BR0002-A-10x10-W-18k-f,https://res.cloudinary.com/dqscf8bog/image/upload/v1753871150/twqana9htbthe5kcmx0n.png
BR0002-O-7x5-W-18k-f,https://res.cloudinary.com/dqscf8bog/image/upload/v1753871114/erij0tsva2l34yfvvriq.png
BR0002-O-9x7-W-18k-f,https://res.cloudinary.com/dqscf8bog/image/upload/v1753871071/l6lwaizvlflwj2twdddo.png
BR0002-O-10x8-W-18k-f,https://res.cloudinary.com/dqscf8bog/image/upload/v1753871140/c2u0yjqczfs5gnfnwm1d.png
BR0002-O-12x10-W-18k-f,https://res.cloudinary.com/dqscf8bog/image/upload/v1753871157/kex0ydqf1sgdzq6ef5cy.png
BR0002-C-6x6-W-18k-f,https://res.cloudinary.com/dqscf8bog/image/upload/v1753871048/tby2hsii2cc6lopiubii.png
BR0002-C-7x7-W-18k-f,https://res.cloudinary.com/dqscf8bog/image/upload/v1753871061/hli0g5banzkh5j45wqxa.png
BR0002-C-8x8-W-18k-f,https://res.cloudinary.com/dqscf8bog/image/upload/v1753871169/a1cycauuozv1ccwrbktl.png
BR0002-C-9x9-W-18k-f,https://res.cloudinary.com/dqscf8bog/image/upload/v1753871085/yhzwnlyjoh8j0m2zyo6n.png
BR0002-C-10x10-W-18k-f,https://res.cloudinary.com/dqscf8bog/image/upload/v1753871146/y5bacnxvcalmd1iau30a.png
BR0002-PS-8x6-W-18k-f,https://res.cloudinary.com/dqscf8bog/image/upload/v1753871046/zyjfymm3rpw32x95ebww.png
BR0002-PS-10x7-W-18k-f,https://res.cloudinary.com/dqscf8bog/image/upload/v1753871108/kvbhiqnoa3hso0admcly.png
BR0002-PS-12x8-W-18k-f,https://res.cloudinary.com/dqscf8bog/image/upload/v1753871104/d7tafx4qnuj4jekss8la.png
BR0002-E-7x5-W-18k-f,https://res.cloudinary.com/dqscf8bog/image/upload/v1753871090/wdh94nnr2h9vxlmh6ibd.png
BR0002-E-8x6-W-18k-f,https://res.cloudinary.com/dqscf8bog/image/upload/v1753871102/tiu83nhavb5jezmdntqj.png
BR0002-E-9x7-W-18k-f,https://res.cloudinary.com/dqscf8bog/image/upload/v1753871101/cdujsnujq5z9paznhq8e.png
